listing_id;name;type;city;neighborhood;latitude;longitude;person_capacity;pictures;features;pricing;host_id;host_name;host_data
28581061;La maison Clery;private_room;Paris;2e arrondissement;48.8692921869;2.34833485236;1;"[""https://a0.muscache.com/im/pictures/668e27ef-a045-4195-b332-9923c3881bf6.jpg?aki_policy=large""]";"{""beds"": 1, ""bedrooms"": 1, ""bathrooms"": 2.0, ""amenity_ids"": [33, 4, 21, 8, 40], ""is_rebookable"": false, ""is_new_listing"": true, ""is_fully_refundable"": true, ""is_host_highly_rated"": false, ""is_business_travel_ready"": false}";"{""weekly_factor"": 1.0, ""monthly_factor"": 1.0}";7250;"";"{""is_superhost"": false}"
661961;studio PARIS PLACE EDITH PIAF 75020;entire_home;Paris;"";48.8672844474;2.40325486422;2;"[""https://a0.muscache.com/im/pictures/8750975/7e50fdaf_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750945/94363b7c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750967/1a41adbc_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750955/f2fb7439_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750976/905d63ad_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750956/da45932b_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750958/f5d2a789_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750970/b8523aa0_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750954/978797b1_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750948/e4ee33e0_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750972/2439a417_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750980/6b98920a_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750988/854731ff_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750950/6adc9b78_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750963/7fa3cf34_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750949/0d6d2aec_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8750951/0bfc8556_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692668/a1c46e10_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692719/581a39b3_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692080/0a122b34_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692831/518861e5_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8691231/f45a6720_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692534/71267f02_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692456/cb84ba8c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692157/87a35ed5_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692047/e9dcbd3f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692862/11ad2482_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692578/39dff6b9_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8693043/c47a45a7_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/8692230/38df9bd5_original.jpg?aki_policy=large""]";"{""beds"": 1, ""bedrooms"": 1, ""bathrooms"": 1.0, ""amenity_ids"": [2, 3, 131, 4, 8, 40, 104, 41, 43, 12, 45, 77, 46, 28, 30, 31], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": true, ""is_business_travel_ready"": false}";"{""weekly_factor"": 0.88, ""monthly_factor"": 0.69}";4905;"";"{""is_superhost"": true}"
1261705;chambre privée à louer @ paris oberkampf;private_room;Paris;"";48.8678944172;2.37589671141;1;"[""https://a0.muscache.com/im/pictures/148a0074-a58d-4ceb-ae87-d43e39bcc497.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/abd0d824-2be5-4dd9-8ee8-e92188f199d6.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/67f52660-1f44-4859-badb-165ccb8f2640.jpg?aki_policy=large""]";"{""beds"": 1, ""bedrooms"": 1, ""bathrooms"": 1.0, ""amenity_ids"": [33, 34, 35, 4, 8, 40, 45, 30, 46], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": true, ""is_business_travel_ready"": false}";"{""weekly_factor"": 1.0, ""monthly_factor"": 1.0}";3685;"";"{""is_superhost"": false}"
1318834;Appartement au coeur du Marais;entire_home;Paris;République;48.8703699867;2.35851034002;3;"[""https://a0.muscache.com/im/pictures/89598914/3361d618_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89598926/98bc7d2d_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89598975/fb762f55_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89598936/8806df0b_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89598945/188fb2c7_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89598963/6811258a_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89598967/64cc2d15_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89598989/6269a5b0_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89598996/df2666ce_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89599006/16676fcf_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89599021/06671f94_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89599027/b974daf3_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89599038/601bc333_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89599052/285063cd_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89599066/f526a5e4_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/89599072/6108fe3c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19876493/cdcb36aa_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/24086495/ee27b841_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/24086579/3eab30de_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/24086709/53af8a49_original.jpg?aki_policy=large""]";"{""beds"": 2, ""bedrooms"": 2, ""bathrooms"": 1.0, ""amenity_ids"": [1, 33, 2, 3, 4, 8, 30, 31], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": false, ""is_business_travel_ready"": false}";"{""weekly_factor"": 0.82, ""monthly_factor"": 0.48}";5245;"";"{""is_superhost"": false}"
1677091;Lovely & Quiet flat;entire_home;Paris;Buttes-Chaumont - Belleville;48.8741486149;2.37369957096;2;"[""https://a0.muscache.com/im/pictures/a1306610-7996-426d-b7f1-a83a697fcce7.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/052a88ac-535f-4a30-be0e-8746cde82440.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/05ad8b2c-2de8-4550-bb04-36d4bd19fe36.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/24912118/04daf678_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/24912138/a3ef37d4_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/e3d70b69-fafb-4966-ad35-e0cca77f7fe5.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102455679/afdede48_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/63009897/3e11e5b5_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/24912260/7213ac01_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/24917299/0e919f04_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/24912223/a8ed1338_original.jpg?aki_policy=large""]";"{""beds"": 1, ""bedrooms"": 1, ""bathrooms"": 1.0, ""amenity_ids"": [33, 129, 35, 4, 103, 8, 40, 10, 11, 77, 46, 47, 85, 56, 30, 31], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": true, ""is_business_travel_ready"": false}";"{""weekly_factor"": 0.95, ""monthly_factor"": 0.9}";3829;"";"{""is_superhost"": false}"
2157481;CENTRAL ET BIEN CONÇU,50m2+terrasse;entire_home;Paris;10e arrondissement;48.8758626621;2.37266470415;4;"[""https://a0.muscache.com/im/pictures/29279706/31f0ad49_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29280944/36738eaa_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29286718/f1ff9b21_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29279652/039eac55_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/30553590/ea35fb07_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29279829/71b4a0af_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/30553455/e42343b3_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29279750/6e7c0dea_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29279782/4e3fb7f8_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29280879/05cfd468_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/30553225/84efd549_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29281035/25d7239f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29280771/8e0c8566_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29279916/e8f6e01d_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29287048/c1f585d1_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29287136/f33fe3f9_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/29279976/6f903751_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/30553685/69556485_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/60149538/f3d60593_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/730e8c42-b7bd-4a41-b2e5-d0531e2b7fb6.jpg?aki_policy=large""]";"{""beds"": 2, ""bedrooms"": 1, ""bathrooms"": 1.0, ""amenity_ids"": [1, 33, 2, 3, 4, 39, 8, 40, 41, 43, 45, 46, 21, 30, 31], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": false, ""is_business_travel_ready"": false}";"{""weekly_factor"": 1.0, ""monthly_factor"": 1.0}";7019;"";"{""is_superhost"": false}"
1140610;Petit atelier canal st Martin;entire_home;Paris;République;48.869362;2.368722;3;"[""https://a0.muscache.com/im/pictures/19906619/2eb4cf3f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906593/d7528485_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906598/b50ea169_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906599/78f1332d_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906585/4b073c1f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906597/f5f8bdb3_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906617/1eda1adf_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906623/fde64c37_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906625/8fae711b_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906631/129e8634_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906580/c6428706_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906582/d645fe05_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906637/c14b3475_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/17156093/10173005_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906645/b4345d1b_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19848686/c891a7bd_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19848702/88ee4ec7_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19848735/48e8a6c4_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906651/5b017e20_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19906655/36845587_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/17156042/37c1666c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/17156047/61f64cba_original.jpg?aki_policy=large""]";"{""beds"": 1, ""bedrooms"": 1, ""bathrooms"": 1.0, ""amenity_ids"": [1, 3, 4, 8, 40, 104, 10, 45, 77, 47, 51, 54, 30], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": false, ""is_business_travel_ready"": false}";"{""weekly_factor"": 0.86, ""monthly_factor"": 0.66}";3274;"";"{""is_superhost"": false}"
5662637;Sophisticated & Sunny Opulent 1BR *Opéra *4 Guests;entire_home;Paris;Opéra - Grands Boulevards;48.8727810623;2.35154911611;2;"[""https://a0.muscache.com/im/pictures/70477785/be79607a_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477765/6f3e4745_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477645/eddcaad7_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477948/d719c69c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477986/25e08bc2_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477635/cc7aebf9_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477809/2177740e_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477448/9de93d3a_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477386/0b6bed7f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477427/f9c9fcac_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477401/9befb93e_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477416/75dc2d5a_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477557/af1a938f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477471/ce3d14ec_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477507/b1b09dcb_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477546/c2c41c3c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477601/252d2daf_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477579/fb6ecb94_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477589/61026bd0_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477661/71ec3003_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70477962/293bcc7c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/70478006/de361a20_original.jpg?aki_policy=large""]";"{""beds"": 2, ""bedrooms"": 1, ""bathrooms"": 1.0, ""amenity_ids"": [64, 1, 129, 2, 3, 4, 71, 8, 77, 85, 86, 88, 89, 90, 91, 93, 30, 94, 31, 96, 33, 34, 35, 36, 103, 40, 104, 41, 43, 44, 45, 46, 47, 57, 59, 61, 62, 63], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": true, ""is_business_travel_ready"": false}";"{""weekly_factor"": 0.92, ""monthly_factor"": 0.85}";4754;"";"{""is_superhost"": false}"
5981388;Paris 16 - Elysées-Kléber-Trocadero /;entire_home;Paris;Passy;48.8689524256;2.28933339324;6;"[""https://a0.muscache.com/im/pictures/74495847/aa461d41_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495830/93993ec2_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495912/e2ac4653_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74496395/e4311e3c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74496360/6f1cbc04_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495930/cc10f330_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495813/e8b2287f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495892/0d0973b7_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74644519/08f38644_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74496378/87bd2acf_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74496411/41b4e50a_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495792/eda29043_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74496433/fe713ab9_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495943/80d2eb97_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74496855/e87bcb72_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495860/37efab6c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/74495960/9678abfc_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/7bc5d1c3-7516-4221-833d-ca11fb925fe5.jpg?aki_policy=large""]";"{""beds"": 5, ""bedrooms"": 2, ""bathrooms"": 2.0, ""amenity_ids"": [64, 1, 2, 66, 4, 8, 72, 10, 74, 77, 21, 85, 89, 90, 91, 92, 93, 30, 94, 31, 95, 96, 33, 34, 35, 103, 40, 44, 45, 46, 47, 61], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": true, ""is_business_travel_ready"": false}";"{""weekly_factor"": 0.9, ""monthly_factor"": 0.75}";444;"";"{""is_superhost"": false}"
149534;GREAT WARM FULL APT LE HAUT MARAIS;entire_home;Paris;"";48.8663599642;2.36184417327;4;"[""https://a0.muscache.com/im/pictures/3059105/b29fb775_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359873/fd3f0ca7_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/23186844/d0eb2104_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359874/c5afca37_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/11911306/20ea2f51_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359846/8a1d7a4d_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3059113/9cb7d9ee_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3059116/8dae2bb2_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3059110/b1cd87fb_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359851/e9043cb1_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359844/8cc5d80d_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3059114/06b7aac7_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3059117/96bd57f9_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359858/6948b68f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/69a180ec-2533-40ad-a592-2684996ddd44.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/19f94524-9520-4448-9208-c0aab1253103.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/962067/5cb562ec_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359856/e0317625_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3059109/ce66381d_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359864/748d2979_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/3359854/fbe85435_original.jpg?aki_policy=large""]";"{""beds"": 2, ""bedrooms"": 1, ""bathrooms"": 1.0, ""amenity_ids"": [1, 33, 129, 2, 3, 4, 103, 8, 40, 104, 41, 11, 44, 77, 14, 46, 47, 21, 27, 28, 30], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": true, ""is_business_travel_ready"": false}";"{""weekly_factor"": 1.0, ""monthly_factor"": 0.4}";5932;"";"{""is_superhost"": false}"
7936602;UNIQUE ARCHITECT DESIGNED HOUSE;entire_home;Paris;Châtelet - Les Halles - Beaubourg;48.8641158013;2.34798053001;4;"[""https://a0.muscache.com/im/pictures/102599748/7f6208f6_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600075/7bc06f86_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600213/884509a4_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600312/390dfafd_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600344/c31e25d7_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600436/1b883a46_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600494/6298524c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600524/6719e8bc_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600560/2c750a1f_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600597/60ff1a60_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600634/77f5129b_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600657/d87d37e5_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600703/cb6adaed_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600727/444bb59c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600743/1755a51c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600762/cdcd61b5_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600778/3eb32bd3_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600793/ff6502aa_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600806/fefe0dd4_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600818/7ef20656_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600840/1910bfc8_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600865/c475d01b_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600891/72affa2c_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102600918/053d02f0_original.jpg?aki_policy=large"", ""https://a0.muscache.com/im/pictures/102601116/393cc299_original.jpg?aki_policy=large""]";"{""beds"": 2, ""bedrooms"": 2, ""bathrooms"": 1.5, ""amenity_ids"": [33, 3, 35, 4, 8, 40, 41, 28, 30], ""is_rebookable"": false, ""is_new_listing"": false, ""is_fully_refundable"": true, ""is_host_highly_rated"": false, ""is_business_travel_ready"": false}";"{""weekly_factor"": 0.83, ""monthly_factor"": 1.0}";1170;"";"{""is_superhost"": false}"
